"","B220","CD106","CD11b","CD11c","CD16.32","CD169","CD19","CD21.35","CD27","CD3","CD31","CD35","CD4","CD44","CD45","CD5","CD71","CD79b","CD8a","CD90","ERTR7","F4.80","IgD","IgM","Ly6C","Ly6G","MHCII","NKp46","TCR","Ter119"
"codex_133",-694.11865234375,2981.72534179688,204.41618347168,1341.61352539062,3107.60131835938,-331.869689941406,1355.32055664062,-41.7871322631836,488.622924804688,-371.024627685547,2512.4765625,452.319244384766,-527.15673828125,3004.06787109375,2856.65185546875,-213.356460571289,-607.981750488281,2257.78076171875,153.871047973633,1320.900390625,-309.513336181641,615.9716796875,-819.716430664062,632.265380859375,58.8656883239746,-8.84150505065918,3225.74829101562,496.532073974609,675.480224609375,-0.748254358768463
"codex_134",944.658569335938,781.246948242188,178.275390625,977.860290527344,1260.13391113281,-150.157043457031,578.499145507812,17.4772052764893,305.393646240234,-202.094940185547,927.763427734375,349.674041748047,16.0213260650635,2209.45654296875,1786.89111328125,-94.9816055297852,-606.80224609375,2629.77954101562,177.878890991211,806.680053710938,589.121765136719,418.493835449219,1465.70812988281,610.824462890625,-16.8326644897461,-12.6087446212769,1910.46105957031,154.52082824707,341.910705566406,-251.896621704102
"codex_135",739.766296386719,2847.0244140625,155.348693847656,2087.90844726562,2292.55615234375,-142.126678466797,889.500610351562,-8.10697364807129,440.954620361328,-373.645812988281,1974.75341796875,366.4443359375,-140.603622436523,2983.42724609375,3496.5966796875,-283.033721923828,-286.071197509766,1295.17529296875,238.279769897461,1122.46813964844,911.007385253906,1466.85375976562,845.101928710938,257.414093017578,85.2021636962891,-40.4528961181641,2724.044921875,333.319091796875,609.829772949219,-346.032257080078
"codex_136",-298.021514892578,2604.6845703125,121.681465148926,747.2265625,601.75146484375,272.569274902344,174.112213134766,243.632141113281,518.120666503906,46.7255859375,1275.44750976562,580.669189453125,1114.34619140625,2041.767578125,-756.006225585938,86.9938888549805,108.345108032227,-571.824951171875,257.718872070312,856.683837890625,401.072357177734,966.320129394531,-1030.70593261719,-106.742462158203,179.57926940918,88.5893173217773,-235.412689208984,564.333618164062,458.719543457031,172.937881469727
"codex_137",-529.667236328125,1879.529296875,126.174728393555,797.057189941406,1094.93713378906,229.499954223633,581.593444824219,42.601863861084,567.635620117188,410.183044433594,1051.890625,381.964385986328,309.303344726562,2642.03149414062,791.583801269531,154.237396240234,173.462142944336,229.152755737305,631.886535644531,1062.36071777344,211.466491699219,1392.96960449219,-776.263977050781,119.744331359863,241.681655883789,137.219818115234,1027.03564453125,948.338500976562,766.512878417969,359.473571777344
"codex_138",1109.22448730469,2666.58325195312,187.358505249023,1288.81958007812,1869.8974609375,-12.0816402435303,794.805725097656,224.822647094727,516.077575683594,63.4178047180176,1139.62573242188,598.520874023438,1022.04577636719,2036.68408203125,727.874572753906,487.5517578125,1172.42443847656,1296.09289550781,759.179382324219,1333.30773925781,2208.984375,203.959106445312,130.302444458008,377.489654541016,128.130661010742,64.7227630615234,867.582092285156,367.162078857422,755.516357421875,253.515701293945
"codex_139",1564.62744140625,6881.44873046875,193.173934936523,2774.65625,12638.46875,393.069366455078,971.082580566406,115.675804138184,855.998840332031,562.929443359375,4925.02294921875,303.544586181641,955.163757324219,3578.41357421875,2454.7392578125,697.443603515625,323.899688720703,990.708984375,1633.73754882812,2316.09912109375,4108.9560546875,3784.42333984375,2241.39916992188,52.1374855041504,268.514892578125,168.280639648438,2158.55834960938,335.353973388672,526.626037597656,475.45068359375
"codex_140",1520.865234375,393.471832275391,136.919845581055,504.447723388672,-479.317108154297,-161.51106262207,-254.51432800293,346.189575195312,93.7785491943359,-512.016235351562,389.721862792969,498.932312011719,1114.81921386719,1664.70458984375,646.439331054688,12.7780389785767,1389.04077148438,56.3004455566406,-1.14776742458344,300.325897216797,-91.906867980957,306.755950927734,207.769775390625,-31.9021148681641,32.8812637329102,13.4423627853394,382.042907714844,691.648254394531,-104.708755493164,155.474578857422
"codex_141",749.549560546875,2679.3515625,54.6716537475586,1550.79565429688,1615.14343261719,-1.55521023273468,1171.73486328125,120.349952697754,578.563659667969,-375.286865234375,1801.80261230469,872.060485839844,913.589538574219,3208.45556640625,1947.94958496094,-32.0559310913086,-28.8669853210449,2353.94775390625,489.132232666016,1630.47668457031,585.247680664062,1080.04956054688,1346.65539550781,361.678680419922,-783.271179199219,40.8918533325195,3070.51831054688,501.250061035156,607.19140625,112.408355712891
"codex_142",1580.05065917969,2470.30859375,180.346832275391,885.937744140625,134.633224487305,207.427444458008,346.160125732422,187.932723999023,255.500122070312,-14.019510269165,255.334060668945,454.719818115234,571.293334960938,872.401977539062,152.497528076172,132.522705078125,1811.13537597656,1946.02270507812,697.456970214844,987.418762207031,1297.61120605469,471.9501953125,658.007141113281,492.069458007812,81.8873062133789,80.5335693359375,-85.4193344116211,254.982818603516,179.165313720703,227.629409790039
"codex_143",1955.58618164062,3164.28881835938,331.191680908203,3054.06494140625,4239.63134765625,-1923.61145019531,1497.74890136719,-83.3195571899414,433.818054199219,-2191.7314453125,4095.67504882812,639.556457519531,-541.817443847656,7227.3955078125,5374.1396484375,-552.003051757812,150.991943359375,8005.3916015625,428.601165771484,3070.79931640625,1722.73449707031,2717.19458007812,6003.6572265625,1009.76947021484,-465.183410644531,-289.776947021484,11014.775390625,671.904602050781,-156.591567993164,-39.6749267578125
"codex_144",28.4458713531494,1689.626953125,288.512329101562,627.439025878906,655.857238769531,308.428314208984,344.730224609375,44.4580955505371,249.328033447266,182.714889526367,1045.755859375,220.161361694336,39.5943450927734,1142.74011230469,851.190856933594,85.2061996459961,254.341125488281,368.308776855469,381.989013671875,704.137084960938,243.510513305664,1555.08276367188,109.875686645508,128.666641235352,203.277679443359,262.383392333984,513.1171875,418.506805419922,356.928527832031,123.668167114258
"codex_145",782.030212402344,1886.84338378906,161.83317565918,1128.4091796875,1865.01306152344,-177.8564453125,563.810852050781,19.4836654663086,75.5618743896484,-399.395812988281,1587.66918945312,144.214111328125,206.890213012695,4185.06396484375,3742.30249023438,62.3749580383301,51.0489044189453,2001.01916503906,457.591461181641,1056.22314453125,-279.461547851562,2576.58862304688,1047.169921875,455.605407714844,-58.8004760742188,-11.6145191192627,1110.52612304688,83.9479751586914,-247.200103759766,81.0442810058594
"codex_146",254.582763671875,179.130065917969,23.0649719238281,894.334716796875,769.917419433594,-131.092391967773,470.244964599609,75.1654510498047,403.129699707031,-52.3900413513184,811.418640136719,337.65087890625,702.138061523438,1461.70935058594,653.476318359375,216.03450012207,28.8331470489502,516.530517578125,372.160858154297,740.510559082031,320.864410400391,1387.20397949219,121.829460144043,138.165054321289,22.9822158813477,-128.867416381836,687.934448242188,313.960632324219,435.976257324219,477.485229492188
"codex_147",731.841735839844,1671.30822753906,179.716094970703,895.905151367188,-660.327880859375,-460.649536132812,1256.01110839844,-5.70877552032471,234.100921630859,-688.345397949219,794.1455078125,265.377349853516,-369.053771972656,1504.76684570312,1459.35595703125,-339.345489501953,101.787010192871,1898.74572753906,-67.821044921875,839.248779296875,3964.55151367188,-163.576583862305,2472.50610351562,62.597412109375,-93.8891983032227,-59.81884765625,3058.22045898438,328.432830810547,421.284729003906,-13.0369110107422
"codex_148",844.607177734375,2591.97583007812,150.69921875,1455.51733398438,2062.86303710938,-133.421340942383,866.942077636719,46.5317153930664,333.292388916016,-179.569900512695,2104.74926757812,220.173919677734,179.508590698242,4044.3115234375,3513.78295898438,103.677017211914,-81.8537368774414,1347.50036621094,600.812438964844,1067.64331054688,1074.29296875,2207.20141601562,191.401107788086,276.687530517578,21.4996204376221,17.5371055603027,1743.78588867188,393.529968261719,101.975074768066,378.875122070312
"codex_149",776.011779785156,5668.4482421875,184.399795532227,1938.57373046875,2727.12939453125,514.776428222656,714.881164550781,15.6246957778931,511.081146240234,679.35693359375,1676.58142089844,76.1061553955078,333.389068603516,6186.87841796875,2785.9677734375,252.506469726562,207.833572387695,692.294616699219,916.882385253906,1532.74560546875,1370.30249023438,4013.35913085938,1660.70764160156,193.033935546875,228.316162109375,211.649200439453,-141.255004882812,341.566284179688,472.998962402344,8.46800994873047
"codex_150",2356.93823242188,1856.78747558594,-1.66767430305481,17.3628978729248,-1188.24182128906,909.063171386719,900.018188476562,280.890380859375,108.332763671875,904.079895019531,35.8334083557129,369.944274902344,868.382934570312,439.075744628906,53.2987594604492,493.393859863281,55.347282409668,1834.671875,592.373046875,347.231262207031,838.246398925781,112.143615722656,4097.12548828125,364.363128662109,305.201782226562,229.723281860352,-1412.66516113281,204.634689331055,532.703125,-28.4413204193115
"codex_151",1276.46228027344,2226.65747070312,219.649322509766,1527.98303222656,2057.82275390625,-129.598480224609,1105.90441894531,259.755645751953,309.768768310547,-156.009017944336,2294.0966796875,842.954162597656,315.238677978516,2893.17260742188,3778.85302734375,455.516204833984,981.03466796875,3631.1064453125,878.854675292969,1476.68530273438,1245.18688964844,3311.45825195312,782.640747070312,756.30029296875,59.5505714416504,77.5900115966797,1672.53076171875,393.021148681641,96.0073165893555,567.78271484375
"codex_152",-864.061950683594,429.720611572266,80.9126739501953,133.196502685547,-79.5046310424805,-543.102722167969,278.303283691406,97.4417343139648,97.2835464477539,-588.387451171875,488.120819091797,181.517181396484,-340.519409179688,93.9105987548828,-793.045776367188,-449.282989501953,-23.2096862792969,-7.24974250793457,-438.145355224609,188.958343505859,1191.84729003906,-174.645645141602,754.709594726562,-88.7765121459961,-122.003677368164,-73.8300323486328,1279.52270507812,131.917083740234,171.866577148438,-458.668243408203
"codex_153",-1380.36657714844,2694.0810546875,171.953475952148,1237.05383300781,1205.46936035156,622.601257324219,620.636962890625,-24.4532318115234,260.101654052734,604.707092285156,1727.30200195312,279.902893066406,153.304183959961,4582.01953125,1129.083984375,265.534790039062,70.6117172241211,902.281494140625,987.068969726562,854.502136230469,2455.11352539062,2724.015625,-2547.783203125,517.858154296875,270.556213378906,176.868957519531,-685.99951171875,322.319122314453,255.311630249023,167.99072265625
"codex_154",609.937744140625,3226.59741210938,226.618423461914,2803.91723632812,2459.78271484375,520.565551757812,1413.32043457031,108.733985900879,886.541259765625,927.025207519531,2348.95825195312,463.718078613281,1505.587890625,4582.59033203125,1779.5849609375,1308.75280761719,3118.33959960938,645.804870605469,2064.6923828125,2931.36376953125,3115.6064453125,2766.83471679688,7.37330722808838,100.253494262695,303.686279296875,240.959381103516,1112.322265625,472.285522460938,1385.35571289062,325.892883300781
"codex_155",-336.3154296875,2026.58984375,117.663696289062,798.00390625,132.709197998047,446.272827148438,140.000122070312,168.912460327148,650.578247070312,499.208221435547,219.074508666992,561.434204101562,604.344604492188,2480.20336914062,-594.222045898438,425.423156738281,1120.05700683594,-375.617248535156,739.553344726562,1050.01501464844,1812.31982421875,373.122772216797,-744.596557617188,52.5636978149414,279.989105224609,146.439407348633,-464.250671386719,425.649688720703,740.595153808594,22.6733646392822
"codex_156",3232.68920898438,313.124938964844,173.912963867188,1209.10083007812,441.045227050781,-289.218841552734,1095.89477539062,241.871292114258,217.309967041016,-471.367248535156,738.449401855469,474.502777099609,368.521270751953,1749.54870605469,3747.99267578125,135.338119506836,60.4689521789551,3310.64379882812,338.638580322266,1007.34967041016,-1304.03662109375,187.936233520508,2944.96899414062,603.411315917969,-37.2926139831543,-31.8558864593506,2523.56005859375,475.956573486328,70.6427459716797,992.170837402344
"codex_157",1858.01147460938,276.788543701172,-345.743011474609,31.3200149536133,-2407.45727539062,-306.231262207031,673.949096679688,164.308090209961,169.605453491211,-444.780792236328,148.061431884766,151.269088745117,-292.233764648438,-10.4660911560059,-806.624267578125,-32.5541877746582,358.052856445312,98.7704086303711,156.398330688477,-423.310607910156,2330.34545898438,-1206.26550292969,2050.48608398438,-165.028823852539,-1512.03149414062,-87.3827819824219,879.598449707031,172.261367797852,195.42253112793,100.954582214355
"codex_158",4201.83935546875,359.546691894531,223.974334716797,1575.08410644531,1160.72216796875,-1122.78454589844,1457.95471191406,392.107086181641,532.494201660156,-1151.40466308594,1628.275390625,1034.81689453125,167.295852661133,2334.05029296875,4061.060546875,-88.2792129516602,338.651794433594,4175.27294921875,214.79426574707,1759.40417480469,-24.8109130859375,269.411529541016,9391.9736328125,380.228393554688,-163.696441650391,-128.249969482422,5126.9970703125,421.00439453125,469.302551269531,214.747589111328
"codex_159",2380.28125,2024.60278320312,162.886306762695,2560.32421875,4682.43505859375,-1378.64025878906,1382.44799804688,-4.32331085205078,491.632141113281,-1433.53942871094,2534.59033203125,604.293518066406,67.8452529907227,3793.73999023438,4275.32080078125,321.953582763672,1442.69604492188,3214.4638671875,906.825073242188,2569.4638671875,1345.61572265625,2823.39868164062,1509.80993652344,300.000030517578,-285.656219482422,-291.039245605469,5114.60498046875,333.462463378906,324.918853759766,1259.36853027344
