"","x","y","z"
"codex_587",689,845,11
"codex_588",685,326,8
"codex_589",680,662,9
"codex_590",671,994,7
"codex_591",697,204,11
"codex_592",709,157,11
"codex_593",686,793,9
"codex_594",715,74,11
"codex_595",698,708,10
"codex_596",718,64,10
"codex_597",697,768,6
"codex_598",692,998,8
"codex_599",708,409,6
"codex_600",697,873,9
"codex_601",723,131,9
"codex_602",711,576,11
"codex_603",716,367,10
"codex_604",711,650,7
"codex_605",711,676,9
"codex_606",711,742,10
"codex_607",685,911,9
"codex_608",685,933,10
"codex_609",715,768,10
"codex_610",707,513,10
"codex_611",731,53,11
"codex_612",727,496,10
"codex_613",735,36,10
"codex_614",732,264,8
"codex_615",704,930,7
"codex_616",713,603,11
"codex_617",746,174,10
"codex_618",722,839,8
"codex_619",730,753,6
"codex_620",722,950,11
"codex_621",741,600,11
"codex_622",731,852,9
"codex_623",748,234,10
"codex_624",729,920,10
"codex_625",753,46,11
"codex_626",753,109,8
"codex_627",749,386,10
"codex_628",742,663,10
"codex_629",731,905,11
"codex_630",752,303,9
"codex_631",751,409,9
"codex_632",732,802,11
"codex_633",745,541,8
"codex_634",744,622,8
"codex_635",750,520,11
"codex_636",759,453,9
"codex_637",735,633,10
"codex_638",763,580,9
"codex_639",752,728,10
"codex_640",751,767,10
"codex_641",750,807,9
"codex_642",733,981,7
"codex_643",749,960,10
"codex_644",747,927,10
"codex_645",761,884,10
"codex_646",767,259,9
"codex_647",777,204,10
"codex_648",766,375,7
"codex_649",766,541,8
"codex_650",752,907,10
"codex_651",782,152,10
"codex_652",740,1001,9
"codex_653",775,339,8
"codex_654",779,247,9
"codex_655",786,42,9
"codex_656",787,105,9
"codex_657",775,500,9
"codex_658",780,369,11
"codex_659",787,163,8
"codex_660",774,701,9
"codex_661",783,290,9
"codex_662",768,747,7
"codex_663",785,474,11
"codex_664",768,860,10
"codex_665",770,623,7
"codex_666",770,672,11
"codex_667",780,829,9
"codex_668",793,414,9
"codex_669",793,547,8
"codex_670",778,865,9
"codex_671",787,605,11
"codex_672",802,562,10
"codex_673",799,204,7
"codex_674",789,458,7
"codex_675",787,801,7
"codex_676",801,650,6
"codex_677",798,898,7
"codex_678",783,638,9
"codex_679",812,73,11
"codex_680",783,772,9
"codex_681",816,135,9
"codex_682",794,913,9
"codex_683",805,703,11
"codex_684",781,921,9
"codex_685",806,632,9
"codex_686",807,612,7
"codex_687",826,265,10
"codex_688",828,200,9
"codex_689",812,452,8
"codex_690",819,318,9
"codex_691",826,487,11
"codex_692",818,406,8
"codex_693",814,594,9
"codex_694",805,949,10
"codex_695",793,990,9
"codex_696",830,295,9
"codex_697",809,355,10
"codex_698",827,373,7
"codex_699",807,805,11
"codex_700",825,508,8
"codex_701",818,828,9
"codex_702",817,883,10
"codex_703",824,794,7
"codex_704",830,408,10
"codex_705",830,425,7
"codex_706",814,775,10
"codex_707",841,106,8
"codex_708",809,743,8
"codex_709",809,965,10
"codex_710",836,344,6
"codex_711",843,42,9
"codex_712",837,652,9
"codex_713",844,264,11
"codex_714",821,936,8
"codex_715",842,609,11
"codex_716",853,163,11
"codex_717",838,807,10
"codex_718",854,309,11
"codex_719",840,865,7
"codex_720",845,585,11
"codex_721",863,139,8
"codex_722",840,980,9
"codex_723",848,541,9
"codex_724",835,742,9
"codex_725",843,668,7
"codex_726",858,278,8
"codex_727",869,211,10
"codex_728",847,468,10
"codex_729",863,590,11
"codex_730",870,358,9
"codex_731",870,417,8
"codex_732",870,668,8
"codex_733",847,698,10
"codex_734",847,771,9
"codex_735",870,766,7
"codex_736",875,473,10
"codex_737",859,790,10
"codex_738",885,7,9
"codex_739",859,822,9
"codex_740",854,944,10
"codex_741",851,912,7
"codex_742",884,578,8
"codex_743",861,874,9
"codex_744",861,902,10
"codex_745",874,726,8
"codex_746",883,106,10
"codex_747",880,528,9
"codex_748",883,168,9
"codex_749",889,460,9
"codex_750",859,962,10
"codex_751",874,860,9
"codex_752",887,395,6
"codex_753",892,315,9
"codex_754",851,998,8
"codex_755",902,89,11
"codex_756",860,626,9
"codex_757",896,227,9
"codex_758",897,413,11
"codex_759",891,617,7
"codex_760",878,559,9
"codex_761",872,895,9
"codex_762",872,930,9
"codex_763",909,31,9
"codex_764",899,518,11
"codex_765",909,118,11
"codex_766",896,785,11
"codex_767",896,937,8
"codex_768",894,905,9
"codex_769",917,142,7
"codex_770",907,486,7
"codex_771",913,300,11
"codex_772",916,179,10
"codex_773",923,281,11
"codex_774",897,740,9
"codex_775",915,472,9
"codex_776",916,387,9
"codex_777",891,832,11
"codex_778",907,650,10
"codex_779",902,716,9
"codex_780",922,525,8
"codex_781",917,602,6
"codex_782",905,815,9
"codex_783",905,961,9
"codex_784",923,567,10
"codex_785",914,981,9
"codex_786",917,787,11
"codex_787",918,863,8
"codex_788",941,78,10
"codex_789",937,170,7
"codex_790",912,926,11
"codex_791",940,285,8
"codex_792",933,666,9
"codex_793",935,486,11
"codex_794",949,190,8
"codex_795",935,821,10
"codex_796",938,963,9
"codex_797",925,921,7
"codex_798",955,108,9
"codex_799",942,764,10
"codex_800",944,332,9
"codex_801",936,703,10
"codex_802",957,431,8
"codex_803",962,516,10
"codex_804",956,382,7
"codex_805",953,353,10
"codex_806",930,613,10
"codex_807",957,547,9
"codex_808",950,706,7
"codex_809",960,606,7
"codex_810",967,479,10
"codex_811",973,39,9
"codex_812",962,778,8
"codex_813",944,888,11
"codex_814",962,824,10
"codex_815",939,916,9
"codex_816",967,744,9
"codex_817",952,864,9
"codex_818",980,210,9
"codex_819",976,311,9
"codex_820",964,670,6
"codex_821",964,694,9
"codex_822",985,76,10
"codex_823",969,450,11
"codex_824",955,643,10
"codex_825",985,251,9
"codex_826",967,965,10
"codex_827",975,586,9
"codex_828",985,432,7
"codex_829",974,633,7
"codex_830",981,360,8
"codex_831",969,912,8
"codex_832",998,13,10
"codex_833",989,393,8
"codex_834",1005,113,9
"codex_835",980,928,8
"codex_836",999,323,8
"codex_837",989,495,7
"codex_838",1007,217,10
"codex_839",996,691,11
"codex_840",970,988,10
"codex_841",994,653,8
"codex_842",987,868,9
"codex_843",1013,254,6
"codex_844",1013,293,6
"codex_845",1006,490,9
"codex_846",1007,547,9
"codex_847",1000,639,10
"codex_848",990,701,9
"codex_849",1013,631,8
"codex_850",1020,25,9
"codex_851",994,943,9
"codex_852",1014,458,9
"codex_853",1024,38,9
"codex_854",1023,78,10
"codex_855",1008,837,8
"codex_856",1018,386,9
"codex_857",1013,914,10
"codex_858",1028,10,10
"codex_859",1024,325,10
"codex_860",998,827,10
"codex_861",991,734,9
"codex_862",1015,668,10
"codex_863",1029,199,9
"codex_864",1002,988,9
"codex_865",1025,128,8
"codex_866",1023,425,9
"codex_867",1038,240,8
"codex_868",1038,277,9
"codex_869",1033,311,7
"codex_870",1041,160,9
"codex_871",1020,778,9
"codex_872",1026,609,9
"codex_873",1036,328,10
"codex_874",1036,340,7
"codex_875",1026,732,9
"codex_876",1044,93,10
"codex_877",1039,832,8
"codex_878",1049,201,7
"codex_879",1047,289,10
"codex_880",1032,941,9
"codex_881",1032,996,9
"codex_882",1056,37,10
"codex_883",1041,691,10
"codex_884",1052,505,9
"codex_885",1054,539,10
"codex_886",1041,717,9
"codex_887",1066,194,9
"codex_888",1041,883,7
"codex_889",1060,434,9
"codex_890",1059,391,9
"codex_891",1073,75,9
"codex_892",1054,768,10
"codex_893",1044,574,9
"codex_894",1042,941,8
"codex_895",1072,106,8
"codex_896",1060,908,8
"codex_897",1065,305,9
"codex_898",1068,135,8
"codex_899",1046,969,9
"codex_900",1062,625,9
"codex_901",1057,855,9
"codex_902",1072,670,9
"codex_903",1077,266,11
"codex_904",1064,805,8
"codex_905",1080,242,7
"codex_906",1090,6,9
"codex_907",1076,335,9
"codex_908",1091,43,10
"codex_909",1091,146,8
"codex_910",1068,475,8
"codex_911",1083,560,8
"codex_912",1088,217,10
"codex_913",1069,600,8
"codex_914",1079,576,9
"codex_915",1083,738,8
"codex_916",1086,450,7
"codex_917",1067,521,7
"codex_918",1090,914,9
"codex_919",1101,116,10
"codex_920",1081,682,9
"codex_921",1090,1006,9
"codex_922",1094,868,8
"codex_923",1074,818,9
"codex_924",1092,879,8
"codex_925",1085,697,8
"codex_926",1112,70,8
"codex_927",1085,774,10
"codex_928",1102,507,9
"codex_929",1088,947,9
"codex_930",1102,523,11
"codex_931",1109,273,9
"codex_932",1102,662,9
"codex_933",1112,297,9
"codex_934",1103,375,10
"codex_935",1103,434,9
"codex_936",1123,74,9
"codex_937",1115,244,7
"codex_938",1107,570,11
"codex_939",1103,540,8
"codex_940",1116,341,8
"codex_941",1117,398,8
"codex_942",1111,474,7
"codex_943",1106,790,8
"codex_944",1098,893,8
"codex_945",1098,924,7
"codex_946",1119,640,9
"codex_947",1121,472,6
"codex_948",1125,612,10
"codex_949",1135,41,8
"codex_950",1116,858,7
"codex_951",1136,157,8
"codex_952",1108,899,11
"codex_953",1097,982,9
"codex_954",1144,7,8
"codex_955",1148,128,8
"codex_956",1113,927,8
"codex_957",1113,965,9
"codex_958",1125,812,10
"codex_959",1146,319,9
"codex_960",1126,451,10
"codex_961",1126,561,9
"codex_962",1147,383,9
"codex_963",1135,611,9
"codex_964",1137,531,10
"codex_965",1133,768,9
"codex_966",1143,436,10
"codex_967",1134,849,8
"codex_968",1141,572,11
"codex_969",1128,484,9
"codex_970",1151,218,9
"codex_971",1151,281,9
