"","x"
"codex_1379",6415
"codex_1380",8105
"codex_1381",4121
"codex_1382",4814
"codex_1383",2556
"codex_1384",7390
"codex_1385",9019
"codex_1386",19155
"codex_1387",13686
"codex_1388",10265
"codex_1389",11959
"codex_1390",10655
"codex_1391",5182
"codex_1392",10253
"codex_1393",10152
"codex_1394",11165
"codex_1395",6893
"codex_1396",9554
"codex_1397",5033
"codex_1398",11254
"codex_1399",6317
"codex_1400",5908
"codex_1401",9344
"codex_1402",12056
"codex_1403",2098
"codex_1404",8091
"codex_1405",12492
"codex_1406",9471
"codex_1407",21763
"codex_1408",532
"codex_1409",7419
"codex_1410",6080
"codex_1411",15246
"codex_1412",10212
"codex_1413",15899
"codex_1414",10850
"codex_1415",18671
"codex_1416",4953
"codex_1417",10960
"codex_1418",4950
"codex_1419",2373
"codex_1420",10115
"codex_1421",4015
"codex_1422",4356
"codex_1423",14590
"codex_1424",18258
"codex_1425",7121
"codex_1426",5379
"codex_1427",2867
"codex_1428",13848
"codex_1429",14620
"codex_1430",11199
"codex_1431",9707
"codex_1432",2714
"codex_1433",1906
"codex_1434",6372
"codex_1435",14735
"codex_1436",4823
"codex_1437",1745
"codex_1438",696
"codex_1439",10767
"codex_1440",5750
"codex_1441",6444
"codex_1442",11481
"codex_1443",6105
"codex_1444",8481
"codex_1445",9415
"codex_1446",6222
"codex_1447",2318
"codex_1448",10815
"codex_1449",8024
"codex_1450",2692
"codex_1451",12893
"codex_1452",10359
"codex_1453",9226
"codex_1454",10037
"codex_1455",8363
"codex_1456",9880
"codex_1457",17522
"codex_1458",7732
"codex_1459",3768
"codex_1460",8543
"codex_1461",5688
"codex_1462",10848
"codex_1463",7862
"codex_1464",10013
"codex_1465",6289
"codex_1466",22740
"codex_1467",7272
"codex_1468",10989
"codex_1469",13172
"codex_1470",6998
"codex_1471",7932
"codex_1472",16293
"codex_1473",477
"codex_1474",1194
"codex_1475",4955
"codex_1476",2369
"codex_1477",8956
"codex_1478",2982
"codex_1479",7394
"codex_1480",9009
"codex_1481",17081
"codex_1482",7563
"codex_1483",13658
"codex_1484",3381
"codex_1485",2468
"codex_1486",8339
"codex_1487",2464
"codex_1488",9534
"codex_1489",6552
"codex_1490",5910
"codex_1491",6831
"codex_1492",393
"codex_1493",10872
"codex_1494",6688
"codex_1495",9051
"codex_1496",7590
"codex_1497",6926
"codex_1498",13015
"codex_1499",10500
"codex_1500",5136
"codex_1501",5203
