"","x","y","z"
"codex_963",1132,607,9
"codex_964",1134,527,10
"codex_965",1130,764,9
"codex_966",1140,432,10
"codex_967",1131,845,8
"codex_968",1138,568,11
"codex_969",1125,480,9
"codex_970",1148,214,9
"codex_971",1148,277,9
"codex_972",1135,496,9
"codex_973",1152,801,6
"codex_974",1162,99,10
"codex_975",1150,829,10
"codex_976",1134,959,7
"codex_977",1166,1,9
"codex_978",1149,608,11
"codex_979",1151,865,9
"codex_980",1148,725,9
"codex_981",1163,410,8
"codex_982",1159,534,9
"codex_983",1164,187,8
"codex_984",1168,378,11
"codex_985",1161,476,8
"codex_986",1170,341,10
"codex_987",1173,249,8
"codex_988",1178,49,9
"codex_989",1159,669,9
"codex_990",1159,752,6
"codex_991",1147,994,9
"codex_992",1182,162,9
"codex_993",1169,595,8
"codex_994",1155,912,6
"codex_995",1175,506,7
"codex_996",1157,774,11
"codex_997",1163,960,10
"codex_998",1181,456,10
"codex_999",1179,487,6
"codex_1000",1171,562,8
